filename,cpu_time,gpu_time,paper_words,summary_words,paper_tokens,summary_tokens
8715406.pdf,1795.424354314804,93.05659008026124,6340,1342,9797,1806
8726288.pdf,1687.3966693878174,111.11034369468688,6184,1341,9279,1677
8782559.pdf,1265.3737337589264,103.9599437713623,4747,884,6387,1161
8809688.pdf,1762.234137058258,125.2928705215454,7197,1402,9970,1806
8840857.pdf,1430.3227412700653,119.81801462173462,6920,1351,10130,1806
8910526.pdf,1222.3836677074432,85.26895117759705,4948,1000,7358,1290
8936376.pdf,1584.9203181266785,144.75548720359802,8849,1782,12906,2322
8937799.pdf,1114.299710035324,103.82723212242126,6427,1220,9012,1548
8955869.pdf,1119.8619031906128,115.04705691337584,6288,1237,8761,1548
9032188.pdf,1224.3398122787476,114.95877575874329,7713,1460,10658,1935
9055390.pdf,1447.367027759552,153.61354875564575,8787,1697,12553,2322
9057451.pdf,1292.4805619716644,99.64332675933838,6245,1233,9459,1677
9091541.pdf,1276.110897064209,118.4049596786499,6624,1293,9381,1677
9099835.pdf,1541.188655614853,128.66531229019165,9708,1816,12865,2322
9107114.pdf,1089.9396920204165,81.21371006965637,4752,1000,7185,1290
9137631.pdf,1326.4244475364685,130.07685565948486,6469,1329,9922,1806
9139935.pdf,2396.077110290528,103.01791214942932,7965,1606,11372,2064
9146834.pdf,2526.3820502758026,116.60984301567078,8577,1788,12889,2322
9151114.pdf,2348.6229951381683,141.99582958221436,7092,1446,10425,1935
9269966.pdf,2297.60057592392,99.351247549057,8494,1592,11972,2193
9284441.pdf,2184.468226909637,148.8239107131958,7355,1443,10794,1935
9293302.pdf,1665.5239329338074,109.3512225151062,5329,1001,7576,1290
9298823.pdf,639.4454350471497,84.78847932815552,3958,799,6038,1032
9303358.pdf,1577.0896162986755,148.88303470611572,12157,2654,18454,3483
9314168.pdf,1124.08202958107,106.17048287391664,7458,1437,10696,1935
9321308.pdf,1229.5905730724337,110.17010164260864,6510,1282,9968,1806
9328413.pdf,1639.6582882404327,140.1588158607483,11154,2305,16372,3096
9343307.pdf,1415.9669852256775,130.79629230499268,9232,1891,12573,2322
9380377.pdf,959.2555124759674,117.61396193504332,4964,959,7529,1290
9382981.pdf,1243.658578872681,93.8434681892395,7153,1446,10506,1935
9456899.pdf,1594.496248960495,156.85778832435608,10230,2171,15760,2967
